n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,class_weight,train_accuracy,val_accuracy,train_val_gap
50,30.0,10,1,log2,balanced,0.9853603603603603,0.6236559139784946,0.3617044463818657
50,30.0,10,1,log2,,0.9774774774774775,0.6397849462365591,0.33769253124091836
50,30.0,10,1,,balanced,0.990990990990991,0.6129032258064516,0.37808776518453935
50,30.0,10,1,,,0.9853603603603603,0.6075268817204301,0.3778334786399302
50,30.0,10,2,sqrt,balanced,0.972972972972973,0.6290322580645161,0.3439407149084569
50,30.0,10,2,sqrt,,0.9650900900900901,0.6236559139784946,0.34143417611159543
50,30.0,10,2,log2,balanced,0.972972972972973,0.6290322580645161,0.3439407149084569
50,30.0,10,2,log2,,0.9650900900900901,0.6236559139784946,0.34143417611159543
50,30.0,10,2,,balanced,0.9864864864864865,0.6290322580645161,0.3574542284219704
50,30.0,10,2,,,0.9819819819819819,0.5967741935483871,0.3852077884335948
50,30.0,10,4,sqrt,balanced,0.9718468468468469,0.6559139784946236,0.31593286835222323
50,30.0,10,4,sqrt,,0.9527027027027027,0.6182795698924731,0.3344231328102296
50,30.0,10,4,log2,balanced,0.9718468468468469,0.6559139784946236,0.31593286835222323
50,30.0,10,4,log2,,0.9527027027027027,0.6182795698924731,0.3344231328102296
50,30.0,10,4,,balanced,0.9752252252252253,0.6075268817204301,0.36769834350479513
50,30.0,10,4,,,0.9650900900900901,0.5806451612903226,0.38444492879976744
50,30.0,10,6,sqrt,balanced,0.9369369369369369,0.6182795698924731,0.3186573670444638
50,30.0,10,6,sqrt,,0.9245495495495496,0.6182795698924731,0.3062699796570765
50,30.0,10,6,log2,balanced,0.9369369369369369,0.6182795698924731,0.3186573670444638
50,30.0,10,6,log2,,0.9245495495495496,0.6182795698924731,0.3062699796570765
